,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
22,2022-02-23,161.1256777043699,152.38098270975266,168.3254237029666,161.1256777043699,161.1256777043699,-1.151640862493679,-1.151640862493679,-1.151640862493679,-1.151640862493679,-1.151640862493679,-1.151640862493679,0.0,0.0,0.0,159.97403684187623
23,2022-02-24,160.9001767714898,150.80419933004256,167.996851942289,160.9001767714898,160.9001767714898,-1.5674611702397505,-1.5674611702397505,-1.5674611702397505,-1.5674611702397505,-1.5674611702397505,-1.5674611702397505,0.0,0.0,0.0,159.33271560125007
24,2022-02-25,160.67467583860974,150.98152520595647,168.84108849587938,160.67467583860974,160.67467583860974,-1.3803023533548024,-1.3803023533548024,-1.3803023533548024,-1.3803023533548024,-1.3803023533548024,-1.3803023533548024,0.0,0.0,0.0,159.29437348525494
25,2022-02-28,160.07402308897463,148.62577836297004,166.13471702678618,160.07402308897463,160.07402308897463,-2.0168434891674667,-2.0168434891674667,-2.0168434891674667,-2.0168434891674667,-2.0168434891674667,-2.0168434891674667,0.0,0.0,0.0,158.05717959980717
26,2022-03-02,159.6735879225512,149.70193752080954,167.47307873736497,159.6735879225512,159.6735879225512,-1.1516408624921264,-1.1516408624921264,-1.1516408624921264,-1.1516408624921264,-1.1516408624921264,-1.1516408624921264,0.0,0.0,0.0,158.5219470600591
27,2022-03-03,159.47337033933948,148.99585976483846,166.55113312810698,159.47337033933948,159.47337033933948,-1.5674611702350403,-1.5674611702350403,-1.5674611702350403,-1.5674611702350403,-1.5674611702350403,-1.5674611702350403,0.0,0.0,0.0,157.90590916910443
28,2022-03-04,159.27315275612779,148.88845445299265,166.43235676407687,159.27315275612779,159.27315275612779,-1.3803023533507248,-1.3803023533507248,-1.3803023533507248,-1.3803023533507248,-1.3803023533507248,-1.3803023533507248,0.0,0.0,0.0,157.89285040277707
29,2022-03-07,158.67250000649264,147.94097186823493,165.52627795745983,158.67250000649264,158.67250000649264,-2.016843489167562,-2.016843489167562,-2.016843489167562,-2.016843489167562,-2.016843489167562,-2.016843489167562,0.0,0.0,0.0,156.65565651732507
30,2022-03-08,158.47228242328094,148.74631258917574,165.90490764430362,158.47228242328094,158.47228242328094,-1.1118323366429712,-1.1118323366429712,-1.1118323366429712,-1.1118323366429712,-1.1118323366429712,-1.1118323366429712,0.0,0.0,0.0,157.36045008663797
31,2022-03-09,158.27206484006925,148.07782239496868,165.91149350621177,158.27206484006925,158.27206484006925,-1.151640862492242,-1.151640862492242,-1.151640862492242,-1.151640862492242,-1.151640862492242,-1.151640862492242,0.0,0.0,0.0,157.12042397757702
